species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-West (HDVW) - bed 13 north section,"7,5",,2021-W27 Swiss chard HVW13-N,harvest from 2021-W27 Swiss chard HVW13-N,true,2022-03-14,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 15 south section,4,,2021-W36 Swiss chard HVW15-S,harvest from 2021-W36 Swiss chard HVW15-S,true,2022-03-14,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 4 north section,"0,7",,2020-0 Swiss chard Autumn HVW04-N,harvest from 2020-0 Swiss chard Autumn HVW04-N,true,2022-03-14,,,,plantings,weight,Kg
Celery,Summer Green House (SGH) - bed 3 north section,"3,3",,2021-W27 Celery SGH3-N,harvest from 2021-W27 Celery SGH3-N,true,2022-03-14,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 8,"6,1",,2021-W22 Celery HVW08-N,harvest from 2021-W22 Celery HVW08-N,true,2022-03-14,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 23 south section,"15,3",,2022-W01 Lettuce HVE23-S,harvest from 2022-W01 Lettuce HVE23-S,true,2022-03-14,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 24 south section,"13,8",,2022-W01 Lettuce HVE24-S,harvest from 2022-W01 Lettuce HVE24-S,true,2022-03-14,,,,plantings,weight,Kg
Lettuce,Summer Green House (SGH) - bed 3 north section,"7,2",,2022-W02 Lettuce SGH3-N,harvest from 2022-W02 Lettuce SGH3-N,true,2022-03-14,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 9 south section,"10,2",,2021-W39 Leek HVE09-S,harvest from 2021-W39 Leek HVE09-S,true,2022-03-14,,,,plantings,weight,Kg
Garlic,HortasDoVale-East (HDVE) - bed 18 north section,"1,43",,2021-W46 Garlic HVE18-N,harvest from 2021-W46 Garlic HVE18-N,true,2022-03-14,,,,plantings,weight,Kg
Dill,HortasDoVale-East (HDVE) - bed 24 north section,"1,285",,2022-W01 Dill HVE24-N,harvest from 2022-W01 Dill HVE24-N,true,2022-03-14,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 11,"1,4",,2021-W42 Beetroot HVE11-N,harvest from 2021-W42 Beetroot HVE11-N,true,2022-03-14,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 16,"0,3",,2021-W39 Beetroot HVW16,harvest from 2021-W39 Beetroot HVW16,true,2022-03-14,,,,plantings,weight,Kg
Broccoli,HortasDoVale-East (HDVE) - bed 11 north section,"2,13",,2021-W42 Broccoli HVE11-N,harvest from 2021-W42 Broccoli HVE11-N,true,2022-03-14,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 16,"2,85",,2021-W39 Broccoli HVW16-N,harvest from 2021-W39 Broccoli HVW16-N,true,2022-03-14,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 21,1,,2021-W30 Broccoli HVW21,harvest from 2021-W30 Broccoli HVW21,true,2022-03-14,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 10,"7,59",,2021-W35 Spring onion HVE10,harvest from 2021-W35 Spring onion HVE10,true,2022-03-14,,,,plantings,weight,Kg
Carrot,HortasDoVale-East (HDVE) - bed 3,"8,9",,2021-W38 Carrot HVE03,harvest from 2021-W38 Carrot HVE03,true,2022-03-14,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 23 south section,"2,55",,2022-W06 Coriander HVE23-S,harvest from 2022-W06 Coriander HVE23-S,true,2022-03-14,,,,plantings,weight,Kg
Coriander,Winter Green House - bed 3,"0,56",,2021-W46 Coriander WGH3,harvest from 2021-W46 Coriander WGH3,true,2022-03-14,,,,plantings,weight,Kg
Curly kale,HortasDoVale-West (HDVW) - bed 16 north section,"0,25",,2021-W39 Curly kale HVW16-N,harvest from 2021-W39 Curly kale HVW16-N,true,2022-03-14,,,,plantings,weight,Kg
Galega kale,HortasDoVale-West (HDVW) - bed 16 north section,"0,5",,2021-W39 Galega kale HVW16-N,harvest from 2021-W39 Galega kale HVW16-N,true,2022-03-14,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-East (HDVE) - bed 11 south section,"0,6",,2021-W42 Green cabbage HVE11-S,harvest from 2021-W42 Green cabbage HVE11-S,true,2022-03-14,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-West (HDVW) - bed 19,"10,4",,2021-W32 Green cabbage HVW19,harvest from 2021-W32 Green cabbage HVW19,true,2022-03-14,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 16 north section,"2,08",,2021-W39 Dinosaur kale HVW16-N,harvest from 2021-W39 Dinosaur kale HVW16-N,true,2022-03-14,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 9 north section,"2,34",,2021-W32 Dinosaur kale HVW09-N,harvest from 2021-W32 Dinosaur kale HVW09-N,true,2022-03-14,,,,plantings,weight,Kg
Chinese cabbage,HortasDoVale-East (HDVE) - bed 24 south section,"2,9",,2022-W01 Chinese cabbage HVE24-S,harvest from 2022-W01 Chinese cabbage HVE24-S,true,2022-03-14,,,,plantings,weight,Kg
Brussels sprouts,HortasDoVale-West (HDVW) - bed 11 south section,"0,6",,2021-W34 Brussels sprouts HVW11-S,harvest from 2021-W34 Brussels sprouts HVW11-S,true,2022-03-14,,,,plantings,weight,Kg
Leef cabbage,HortasDoVale-West (HDVW) - bed 11 south section,"3,75",,2021-W34 Leef cabbage HVW11-S,harvest from 2021-W34 Leef cabbage HVW11-S,true,2022-03-14,,,,plantings,weight,Kg
Spinaches,HortasDoVale-East (HDVE) - bed 13 south section,"4,76",,2022-W04 Spinaches HVE13-S,harvest from 2022-W04 Spinaches HVE13-S,true,2022-03-14,,,,plantings,weight,Kg
Broad beans,HortasDoVale-East (HDVE) - bed 14 north section,"13,6",,2021-W43 Broad beans HVE14-N,harvest from 2021-W43 Broad beans HVE14-N,true,2022-03-14,,,,plantings,weight,Kg
Fennel,HortasDoVale-West (HDVW) - bed 23 north section,"0,25",,2021-W36 Fennel bulb HVW23-N,harvest from 2021-W36 Fennel bulb HVW23-N,true,2022-03-14,,,,plantings,weight,Kg
Fennel,HortasDoVale-West (HDVW) - bed 23 north section,"0,7",,2021-W36 Fennel bulb HVW23-N,harvest from 2021-W36 Fennel bulb HVW23-N,true,2022-03-14,,,,plantings,weight,Kg
Rapini,HortasDoVale-East (HDVE) - bed 12 south section,"0,2",,2021-W48 Rapini HVE12-S,harvest from 2021-W48 Rapini HVE12-S,true,2022-03-14,,,,plantings,weight,Kg
Mizuna green,HortasDoVale-East (HDVE) - bed 21 south section,"2,5",,2022-W05 Mizuna green HVE21-S,harvest from 2022-W05 Mizuna green HVE21-S,true,2022-03-14,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 24,"1,4",,2021-W04 Strawberry HVW24,harvest from 2021-W04 Strawberry HVW24,true,2022-03-14,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 25,"1,4",,2021-W04 Strawberry HVW25,harvest from 2021-W04 Strawberry HVW25,true,2022-03-14,,,,plantings,weight,Kg
Turnip greens,HortasDoVale-East (HDVE) - bed 12 south section,1,,2021-W48 Turnip greens HVE12-S,harvest from 2021-W48 Turnip greens HVE12-S,true,2022-03-14,,,,plantings,weight,Kg
